YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2000-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,2,0.047,2,0.047,2,0.297,1,0.20,0
2000-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,2,0.047,2,0.047,2,0.297,1,0.20,0
2000-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,2,0.047,2,0.047,2,0.297,1,0.20,0
2000-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,2,0.047,2,0.047,2,0.297,1,0.20,0
2000-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,2,0.047,2,0.047,2,0.297,1,0.20,0
2000-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,2,0.047,2,0.047,2,0.297,1,0.20,0
2000-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,2,0.047,2,0.047,2,0.297,1,0.20,0
2000-01-01,8:00,87.8,119.4,24,625,7,1,9,137,1,21,2,1,9,10,10,172,16,3,10,10,10,172,16,3,10,-9900,99,-9900,99,-9900,99,1.2,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,9:00,80.5,125.9,234,1415,142,0,9,637,0,21,36,0,9,97,10,350,16,39,10,133,10,672,16,22,10,-9900,99,-9900,99,-9900,99,1.1,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,10:00,71.1,136.3,458,1415,315,0,9,687,0,21,92,0,9,305,10,761,16,59,10,311,10,858,16,34,10,-9900,99,-9900,99,-9900,99,0.9,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,11:00,63.5,148.8,631,1415,352,0,9,351,0,21,195,0,9,346,10,415,16,161,10,462,10,940,16,43,10,-9900,99,-9900,99,-9900,99,0.8,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,12:00,58.4,163.4,741,1415,530,0,9,746,0,21,139,0,9,335,10,315,16,170,10,559,10,974,16,49,10,-9900,99,-9900,99,-9900,99,0.8,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,13:00,56.6,179.6,779,1415,601,0,9,916,0,21,97,0,9,532,10,636,16,182,10,593,10,984,16,51,10,-9900,99,-9900,99,-9900,99,0.8,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,14:00,58.3,195.8,744,1415,546,0,9,918,0,21,63,0,9,484,10,734,16,98,10,561,10,974,16,49,10,-9900,99,-9900,99,-9900,99,0.9,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,15:00,63.2,210.6,638,1415,478,0,9,922,0,21,62,0,9,369,10,640,16,81,10,467,10,941,16,43,10,-9900,99,-9900,99,-9900,99,0.9,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,16:00,70.7,223.2,467,1415,333,0,9,845,0,21,54,0,9,209,10,447,16,62,10,320,10,866,16,34,10,-9900,99,-9900,99,-9900,99,0.9,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,17:00,80.0,233.7,245,1415,149,0,9,617,0,21,42,0,9,125,10,526,16,34,10,143,10,691,16,23,10,-9900,99,-9900,99,-9900,99,0.9,2,0.047,2,0.021,2,0.297,1,0.20,0
2000-01-01,18:00,87.6,240.5,29,696,9,1,9,143,1,21,2,1,9,12,10,179,16,5,10,12,10,197,16,4,10,-9900,99,-9900,99,-9900,99,0.9,2,0.047,2,0.021,2,0.297,1,0.20,0
